<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20240329;095958;1322.2;3;9985762389;S
20240329;095958;1322.2;2;9985762390;S
20240329;095958;1322.2;70;9985762391;S
20240329;095958;1322.2;1;9985762392;S
20240329;095958;1322.2;2;9985762393;S
20240329;095958;1322.2;18;9985762394;S
20240329;095958;1322.2;5;9985762395;S
20240329;095958;1322.2;13;9985762396;S
20240329;095958;1322.2;1;9985762397;S
20240329;095958;1322.2;1;9985762398;S
20240329;095958;1322.2;1;9985762399;S
20240329;095958;1322.2;1;9985762400;S
20240329;095958;1322.2;4;9985762401;S
20240329;095958;1322.2;230;9985762402;S
20240329;095958;1322.2;5;9985762403;S
20240329;095958;1322.2;100;9985762404;B
20240329;095958;1322.2;1;9985762405;S
20240329;095958;1322.2;5;9985762406;S
20240329;095958;1322.2;35;9985762407;S
20240329;095958;1322.2;1;9985762408;S
20240329;095958;1322.2;1;9985762409;S
20240329;095958;1322.2;1;9985762410;S
20240329;095958;1322.2;1;9985762411;S
20240329;095958;1322.2;1;9985762412;S
20240329;095958;1322.2;2;9985762413;B
20240329;095958;1322.2;5;9985762414;B
20240329;095958;1322.2;4;9985762415;B
20240329;095958;1322.2;1;9985762416;B
20240329;095958;1322.2;20;9985762417;B
20240329;095958;1322.2;1;9985762418;B
20240329;095958;1322.2;14;9985762419;B
20240329;095958;1322.2;5;9985762420;B
20240329;095958;1322.2;2;9985762421;B
20240329;095958;1322.2;3;9985762422;B
20240329;095958;1322.2;10;9985762423;S
20240329;095958;1322.2;2;9985762424;S
20240329;095958;1322.2;2;9985762425;B
20240329;095958;1322.2;6;9985762426;B
20240329;095958;1322.2;1;9985762427;B
20240329;095958;1322.2;18;9985762428;B
20240329;095958;1322.2;10;9985762429;B
20240329;095958;1322.2;1;9985762430;B
20240329;095958;1322.2;2;9985762431;B
20240329;095958;1322.2;8;9985762432;B
20240329;095958;1322.2;3;9985762433;B
20240329;095958;1322.2;33;9985762434;S
20240329;095958;1322.2;1;9985762435;S
20240329;095958;1322.2;1;9985762436;S
20240329;095958;1322.2;246;9985762437;S
20240329;095958;1322.2;1;9985762438;S
20240329;095958;1322.2;15;9985762439;B
20240329;095958;1322.2;10;9985762440;B
20240329;095958;1322.2;2;9985762441;B
20240329;095958;1322.2;10;9985762442;B
20240329;095958;1322.2;20;9985762443;B
20240329;095958;1322.2;5;9985762444;B
20240329;095958;1322.2;5;9985762445;B
20240329;095958;1322.2;15;9985762446;B
20240329;095958;1322.2;10;9985762447;B
20240329;095958;1322.2;2;9985762448;B
20240329;095958;1322.2;20;9985762449;B
20240329;095958;1322.2;10;9985762450;S
20240329;095958;1322.2;250;9985762451;S
20240329;095958;1322.2;20;9985762452;B
20240329;095958;1322.2;1;9985762453;B
20240329;095958;1322.2;274;9985762454;B
20240329;095958;1322.2;1;9985762455;B
20240329;095958;1322.2;1;9985762456;B
20240329;095958;1322.2;174;9985762457;B
20240329;095958;1322.2;1;9985762458;B
20240329;095958;1322.2;11;9985762459;B
20240329;095958;1322.2;1;9985762460;B
20240329;095958;1322.2;43;9985762461;B
20240329;095958;1322.2;1;9985762462;B
20240329;095958;1322.2;5;9985762463;S
20240329;095958;1322.2;2;9985762464;S
20240329;095958;1322.2;15;9985762465;S
20240329;095958;1322.2;2;9985762466;S
20240329;095958;1322.2;15;9985762467;S
20240329;095958;1322.2;1;9985762468;S
20240329;095958;1322.2;1;9985762469;S
20240329;095958;1322.2;1;9985762470;S
20240329;095958;1322.2;3;9985762471;S
20240329;095958;1322.2;1;9985762472;S
20240329;095958;1322.2;2;9985762473;B
20240329;095958;1322.2;1;9985762474;B
20240329;095958;1322.2;1;9985762475;B
20240329;095958;1322.2;1;9985762476;B
20240329;095958;1322.2;5;9985762477;B
20240329;095958;1322.2;10;9985762478;B
20240329;095958;1322.2;1;9985762479;B
20240329;095958;1322.2;20;9985762480;B
20240329;095958;1322.2;1;9985762481;B
20240329;095958;1322.2;1;9985762482;B
20240329;095958;1322.2;1;9985762483;B
20240329;095958;1322.2;2;9985762484;B
20240329;095958;1322.2;4;9985762485;B
20240329;095958;1322.2;1;9985762486;B
20240329;095958;1322.2;1;9985762487;B
20240329;095958;1322.2;1;9985762488;B
20240329;095958;1322.2;4;9985762489;B
20240329;095958;1322.2;1;9985762490;B
20240329;095958;1322.2;10;9985762491;B
20240329;095958;1322.2;10;9985762492;B
20240329;095958;1322.2;10;9985762493;S
20240329;095958;1322.2;3;9985762494;S
20240329;095958;1322.2;4;9985762495;S
20240329;095958;1322.2;1;9985762496;S
20240329;095958;1322.2;1;9985762497;S
20240329;095958;1322.2;2;9985762498;S
20240329;095958;1322.2;5;9985762499;B
20240329;095958;1322.2;50;9985762500;B
20240329;095958;1322.2;1;9985762501;S
20240329;095958;1322.2;1;9985762502;S
20240329;095958;1322.2;11;9985762503;S
20240329;100001;1322.2;19;9985763842;B
20240329;100001;1322.2;81;9985763843;B
20240329;100001;1322;10;9985763851;S
20240329;100001;1322;100;9985763852;S
20240329;100001;1322;100;9985763853;S
20240329;100002;1321.2;12;9985764289;S
20240329;100002;1321.2;9;9985764290;S
20240329;100002;1321.6;20;9985764515;B
20240329;100002;1321.6;4;9985764516;B
20240329;100002;1321.6;20;9985764519;B
20240329;100002;1321.8;1;9985764571;B
20240329;100002;1321.8;11;9985764619;B
20240329;100002;1321.8;89;9985764620;B
20240329;100002;1321.8;100;9985764628;B
20240329;100002;1321.2;1;9985764658;S
20240329;100002;1321.8;40;9985764731;B
20240329;100002;1321.6;1;9985764849;B
20240329;100002;1321.8;2;9985764850;B
20240329;100002;1322;86;9985764851;B
20240329;100002;1322;10;9985764924;S
20240329;100002;1321.6;12;9985764925;S
20240329;100002;1321.6;136;9985764926;S
20240329;100002;1321.2;1;9985764933;S
20240329;100002;1321.6;100;9985764942;B
20240329;100003;1321.2;13;9985764953;S
20240329;100003;1321.2;2;9985764954;S
20240329;100003;1321.2;37;9985765007;S
20240329;100003;1321.2;11;9985765010;S
20240329;100003;1321.6;42;9985765021;B
20240329;100003;1321.8;20;9985765022;B
20240329;100003;1321.8;1;9985765023;B
20240329;100003;1321.8;11;9985765064;B
20240329;100003;1322.2;9;9985765065;B
20240329;100003;1322.2;1;9985765104;B
20240329;100003;1322.2;5;9985765105;B
20240329;100003;1322.2;107;9985765106;B
20240329;100003;1322.4;5;9985765107;B
20240329;100003;1322.4;2;9985765108;B
20240329;100003;1322.4;286;9985765109;B
20240329;100003;1322.4;10;9985765110;B
20240329;100003;1322.4;320;9985765111;B
20240329;100003;1322.4;1;9985765112;B
20240329;100003;1322.4;19;9985765113;B
20240329;100003;1322.4;136;9985765114;B
20240329;100003;1322.6;1;9985765115;B
20240329;100003;1322.6;1;9985765116;B
20240329;100003;1322.6;40;9985765117;B
20240329;100003;1322.8;4;9985765118;B
20240329;100003;1322.8;50;9985765119;B
20240329;100003;1322.8;12;9985765120;B
20240329;100003;1321.8;1;9985765149;S
20240329;100003;1322;3;9985765158;B
20240329;100003;1321.8;11;9985765189;S
20240329;100003;1321.6;49;9985765190;S
20240329;100003;1321.8;3;9985765251;S
20240329;100003;1321.8;5;9985765252;S
20240329;100004;1322.6;1;9985765282;B
20240329;100004;1322.8;2;9985765283;B
20240329;100004;1322.8;1;9985765284;B
20240329;100004;1322.8;3;9985765285;B
20240329;100004;1322.8;5;9985765286;B
20240329;100004;1322.8;18;9985765287;B
20240329;100004;1321.8;4;9985765310;S
20240329;100004;1321.8;1;9985765383;B
